"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Localization of Older People in an Indoor Scenario: A Measurement System Based on PIR Sensors Installed in a Social Robot","I. Ciuffreda; S. Casaccia; G. M. Revel","Dip. di ingegneria Industriale e scienze matematiche, Università Politecnica delle Marche, Ancona, Italy; Dip. di ingegneria Industriale e scienze matematiche, Università Politecnica delle Marche, Ancona, Italy; Dip. di ingegneria Industriale e scienze matematiche, Università Politecnica delle Marche, Ancona, Italy","2023 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv)","4 Jul 2023","2023","","","208","212","People detection is widely used in remote health monitoring and smart homes. Passive infrared (PIR) sensors are the most used devices-free detection system for their affordability, non-invasiveness, low power consumption and high accuracy. However, there are still many challenges related to analyzing digital output data to extract useful information with multi-PIR systems. Thus, in this paper we propose a measurement system composed of multi-PIR sensors mounted on the head of a mobile social robot in which the granularity of the overlapped field of view (FoV) of sensors are considered to increase the localization accuracy. In addition, a Decision Tree (DT) classifier algorithm is trained on the system data to improve the localization accuracy. The results show that the accuracy of the system is 96% for tests performed in controlled environments when subjects have gait movement constraints. The accuracy of the system decreases (83.3%) when no constraints are applied.","","978-1-6654-5693-7","10.1109/MetroLivEnv56897.2023.10164045","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164045","PIR sensors;localization;social robot;machine learning","Location awareness;Power demand;Social robots;Smart homes;Machine learning;Metrology;Sensor systems","assisted living;decision trees;mobile robots;patient monitoring;social robots","decision tree classifier algorithm;device-free detection system;digital output data;indoor scenario;localization accuracy;measurement system;mobile social robot;multiPIR sensors;multiPIR systems;noninvasiveness;older people;people detection;PIR sensors;remote health monitoring;smart homes;system data","","","","21","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Tiredness Detection for a Robotic Mobility Aid","C. Dong; J. Kennedy; M. K. X. J. Pan; Z. Xiu; C. Zhang; H. Tan","UBTECH NA RESEARCH & DEV CTR CORP, Pasadena, USA; Futronics NA Corporation, Pasadena, USA; Electrical and Computer Engineering Department, Queen’s University, Kingston, Canada; Futronics NA Corporation, Pasadena, USA; Futronics NA Corporation, Pasadena, USA; Futronics NA Corporation, Pasadena, USA","2022 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","27 Jun 2022","2022","","","1","4","The proportion of elderly people in society is predicted to continue to rise in the coming decades. Mobility is a key aspect of many daily activities, but falls become an increasingly significant health risk with age. With the COVID-19 pandemic, many elderly users prefer or require assistive devices, rather than human support, in walking and carrying out daily tasks. However, prior work has shown that when using passive assistive mobility devices, fall risks can actually increase. This presents an opportunity for assistive robots to help maintain and improve the mobility of elderly users, with an additional emphasis on safety, made possible through sensing capabilities. In this paper, we present a computer vision system that detects the eye blink and face angle patterns for exhibiting signs of tiredness. In addition to the frame-based detection, we also introduce a time-window collation with a machine learning classifier. The system proposed here is critical in monitoring the user, performing real-time detection, and recommending they take a break if tiredness is detected. The overall system architecture and algorithmic details are presented, then a series of experiments are conducted to validate the performance of the approach.","2162-7576","978-1-6654-7966-0","10.1109/ARSO54254.2022.9802957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9802957","Human-robot interaction;assistive robotics;mobility aids;pandemic solution;computer vision","Machine learning algorithms;Pandemics;Systems architecture;Robot sensing systems;Real-time systems;Sensors;Safety","computer vision;geriatrics;handicapped aids;learning (artificial intelligence);mobile robots;object detection;user interfaces","additional emphasis;assistive devices;assistive robots;computer vision system;COVID-19 pandemic;daily activities;elderly people;elderly users prefer;exhibiting signs;eye blink;face angle patterns;fall risks;frame-based detection;human support;increasingly significant health risk;machine learning classifier;passive assistive mobility devices;real-time detection;robotic mobility aid;sensing capabilities;system architecture;time-window collation;tiredness detection;walking","","","","20","IEEE","27 Jun 2022","","","IEEE","IEEE Conferences"
"Research on the Application of Social Network Service in Resource Sharing of Ideological and Political Education in Colleges","L. Cui","Chongqing Vocational College of Transportation, Chongqing, China","2020 International Conference on Robots & Intelligent System (ICRIS)","6 Sep 2021","2020","","","210","213","This paper takes the retrieval demand of Ideological and political education resources in colleges as the background, studies the system architecture, working principle, key technology, workflow and other related theories and technologies of vertical search engine, and designs an educational resource sharing system based on social network service mode. On one hand, the vector space model is constructed by extracting the semantic information of education and curriculum, and the topic search engine architecture is used to solve the problem of topic crawler topic concept set expression and URL importance judgment; on the other hand, a vertical search engine for educational resources is implemented and integrated by Herltix, Htmlparser and Lucene. Finally, by testing the function and performance of educational resource sharing system, it shows that the system can run well and achieve certain results.","","978-1-6654-1969-7","10.1109/ICRIS52159.2020.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9523903","social network;resource sharing;ideological and political education;Lucene;crawler","Uniform resource locators;Social networking (online);Education;Semantics;Systems architecture;Search engines;Propulsion","computer aided instruction;educational institutions;information retrieval;politics;search engines;social networking (online)","colleges;system architecture;vertical search engine;social network service mode;topic search engine architecture;topic crawler topic concept;educational resources;Political education resources;URL importance judgment;educational resource sharing system performance","","","","8","IEEE","6 Sep 2021","","","IEEE","IEEE Conferences"
"Proposal of a New Model for Social Navigation Based on Extraction of Social Contexts from Ontology in Service Robots","F. de Assis Moura Pimentel; P. T. Aquino","Centro Universitário FEI; Dpto. de pós Graduação em Engenharia Elétrica, Centro Universitário FEI, S˜ao Bernardo do Campo - SP, Brazil","2019 Latin American Robotics Symposium (LARS), 2019 Brazilian Symposium on Robotics (SBR) and 2019 Workshop on Robotics in Education (WRE)","2 Mar 2020","2019","","","144","149","With the growing presence of service robots in social environments, research into the development of social behavior in robots is becoming increasingly necessary. Service robotics and social navigation are research areas that have been growing in recent years. However, helping humans with everyday tasks as well as people who need special attention, the elderly and children are still challenging issues in both the domestic and commercial environments. In this paper we present the current problem of social navigation in service robots, a state-of-the-art review of social navigation models, and we propose a new social navigation model using context extraction from ontology. This is expected to improve both the naturalness and the sociability of the robot as well as the comfort of the human being. This project intends to use current detection and learning techniques and tools such as OpenPose, as well as semantic mapping and deep learning. Navigation experiments were performed in simulated environment and selection of a navigation method. Also started implementing people tracking using OpenPose with satisfactory preliminary results. It is hoped that with this project, we can collaborate with the field of social navigation research using ontology approach.","2643-685X","978-1-7281-4268-5","10.1109/LARS-SBR-WRE48964.2019.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018600","Social;Navigation;Context;Ontology","Navigation;Mobile robots;Service robots;Safety;Robot sensing systems;Context modeling","control engineering computing;human-robot interaction;learning (artificial intelligence);neural nets;ontologies (artificial intelligence);service robots","social contexts;social behavior;service robotics;social navigation model;ontology;context extraction;semantic mapping;deep learning;people tracking;OpenPose","","","","18","IEEE","2 Mar 2020","","","IEEE","IEEE Conferences"
"Environmental Awareness in Preschool Education via Educational Robotics and STEAM Education","Z. Christidi; E. Christopoulou","Department of Informatics, Ionian University, Corfu, Greece; Department of Informatics, Ionian University, Corfu, Greece","2022 7th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)","1 Nov 2022","2022","","","1","8","Nowadays there is a strong interest in the educational community and society in innovative technologies and more specifically on STEAM (Science, Technology, Engineering, Art and Mathematics) education and robotics. Via STEAM education and educational robotics the learning process and the development of students’ skills can undoubtedly be supported and developed. Additionally, students advance problem-solving and 21st century skills, like critical thinking, creativity and communication. The main aim of our research is to raise the environmental awareness of kindergarten students who were involved in educational robotics and STEAM education activities. This research study was completed as part of a real process, where our students, aged 4 to 6 years old, participated in eight educational activities focusing on water pollution and utilizing the programmable Blue Bot robot. Our research revealed that young students developed and acquired knowledge of programming and algorithmic thinking in a playful way through the use of the educational robot and managed to develop their cognitive and communication skills.","","979-8-3503-9858-8","10.1109/SEEDA-CECNSM57760.2022.9932911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9932911","educational robotics;steam education;stem education;environmental education;environmental awareness;preschool education","Knowledge engineering;Social networking (online);Education;Water pollution;Mathematics;Teamwork;Problem-solving","computer aided instruction;educational institutions;educational robots;mobile robots","environmental awareness;preschool education;educational robotics;educational community;STEAM education activities;science technology engineering art and mathematics","","","","28","IEEE","1 Nov 2022","","","IEEE","IEEE Conferences"
"Investigating the Social Robots’ Role in Improving Children Attitudes toward Recycling. The case of PeppeRecycle","B. D. Carolis; F. D’Errico; N. Macchiarulo; V. Rossano","Department of Computer Science, University of Bari, Bari, Italy; Philosophy Communication and Visual Art Department, Roma Tre University; Exprivia srl, Molfetta, Italy; Department of Computer Science, University of Bari, Bari, Italy","2019 10th IEEE International Conference on Cognitive Infocommunications (CogInfoCom)","11 May 2020","2019","","","301","306","In this paper we investigate the impact of a social robot in the context of serious games in which the robot plays the role of a game opponent by challenging and, at the same time, teaching the child to correctly recycle waste materials. To this aim we performed a study in which we investigated the dimensions that are used to evaluate serious games integrated with those that are typical of the interaction with a social robot. To endow the robot with the capability to play as a game opponent in a real-world context, we implemented an image recognition module based on a Convolutional Neural Network so that the robot could detect and classify the waste material as a child would do, by seeing it. After a preliminary evaluation of the approach, we started a formal experiment in which we measured the effectiveness of game design, the robot evaluation and the evaluation of cognitive and affective elements that can form the pro-environmental attitude and then the tendency to recycling. A primary school classroom was involved in the study and, results obtained so far, are encouraging and drew promising possibilities for robotics education in changing recycling attitude for children since Pepper is positively evaluated as trustful and believable and this allowed to be concentrated on the `memorization' task during the game.","2380-7350","978-1-7281-4793-2","10.1109/CogInfoCom47531.2019.9089994","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089994","Social robots;serious games;evaluation","Games;Robots;Recycling;Plastic products;Analysis of variance;Education;Waste materials","computer aided instruction;convolutional neural nets;educational robots;image recognition;recycling;serious games (computing);teaching","serious games;game opponent;waste material;social robot;real-world context;image recognition module;convolutional neural network;game design;robot evaluation;pro-environmental attitude;robotics education;changing recycling attitude;social robots;children attitudes","","3","","23","IEEE","11 May 2020","","","IEEE","IEEE Conferences"
"Mobile Human-Robot Interaction for personalized Health Training","J. Tessmer; F. Wallhoff","Jade University of Applied Sciences, Institute for Technical Assistive Systems (ITAS), Oldenburg, Germany; Jade University of Applied Sciences, Institute for Technical Assistive Systems (ITAS), Oldenburg, Germany","2019 International Conference on Digitization (ICD)","2 Jun 2020","2019","","","212","216","North-Western Germany and the Northern Netherlands Provinces have experienced increasing rural youth-out migration over the last decades. This has had stark economic, social and health implications for elderly populations that continue to reside in these areas. Many are at risk of spending their final years in isolation and increasing immobility, which has a severe impact on people's quality of life in older age and can lead to illness and loss of independence. In order to combat this problem a mobile training assistant application for movement exercises that utilizes a humanoid robot, NAO by Softbank Robotics, was prototypically implemented. The training assistant is designed to be used at home or in senior groups in isolated communities. Primarily, it is aimed to mobilize elderly people to empower them to live independent lives in their own homes and communities for as long as possible. The training assistant has been developed with elderly care workers and physiotherapists.","","978-1-7281-3841-1","10.1109/ICD47981.2019.9105825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105825","human-robot interaction;NAO robot;training assistant;ageing society;dialogue design;usability;gamification","Training;Economics;Senior citizens;Sociology;Humanoid robots;Human-robot interaction;Statistics","geriatrics;health care;humanoid robots;human-robot interaction;mobile robots","mobile training assistant application;movement exercises;humanoid robot;Softbank Robotics;elderly care workers;physiotherapists;mobile human-robot interaction;personalized health training;North-Western Germany;rural youth-out migration;stark economic health implications;social health implications;Northern Netherlands provinces;NAO","","","","30","IEEE","2 Jun 2020","","","IEEE","IEEE Conferences"
"Students participate and evaluate the design and development of a social robot","P. Christodoulou; A. A. May Reid; D. Pnevmatikos; C. R. del Rio; N. Fachantidis","Primary Education Department, University of Western Macedonia, Florina, Greece; Engineering Faculty, University of Cádiz, Cádiz, Spain; Primary Education Department, University of Western Macedonia, Florina, Greece; Engineering Faculty, University of Cádiz, Cádiz, Spain; Educational & Social Policy Department, University of Macedonia, Thessaloniki, Greece","2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","14 Oct 2020","2020","","","739","744","Scholars have highlighted the importance of the humanoid appearance and the integration of various social cues for the design of Socially Assistive Robots for Education (SAR). However, designing a SAR for education omitting the stakeholders that will exploit it might prove a risky task. The aim of the current study, on the one hand, was to present the design of a SAR for Science Technology Engineering and Mathematics (STEM) education developed through stakeholders’ involvement in various steps of the approach. On the other hand, the study aimed to present the evaluation of the prototype robot through a STEM-oriented robot-assisted collaborative online teaching-learning sequence. Preliminary results indicate that participants endorsed the appearance and non-verbal behavior of the robot above chance level, while gender and age-related differences were revealed regarding the most appealing feature of the robot. Implications for Human-Robot Interaction are discussed.","1944-9437","978-1-7281-6075-7","10.1109/RO-MAN47096.2020.9223490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223490","","Education;Collaboration;Prototypes;Robot sensing systems;Turning;Sensors;Stakeholders","computer aided instruction;control engineering computing;humanoid robots;human-robot interaction;teaching","humanoid appearance;social cues;socially assistive robots;SAR;stakeholders;risky task;science technology engineering;prototype robot;STEM-oriented robot-assisted collaborative online teaching-learning sequence;human-robot interaction;mathematics education","","8","","41","IEEE","14 Oct 2020","","","IEEE","IEEE Conferences"
"Robot-Assisted Autism Spectrum Disorder (ASD) Interventions: A Multi-Robot Approach","C. Lytridis; C. I. Papadopoulou; G. A. Papakostas; V. G. Kaburlasos; V. A. Nikopoulou; M. D. Kerasidou; N. Dalivigkas","Human-Machines Interaction Laboratory (HUMAIN-Lab), International Hellenic University, Kavala, Greece; Human-Machines Interaction Laboratory (HUMAIN-Lab), International Hellenic University, Kavala, Greece; Human-Machines Interaction Laboratory (HUMAIN-Lab), International Hellenic University, Kavala, Greece; Human-Machines Interaction Laboratory (HUMAIN-Lab), International Hellenic University, Kavala, Greece; Human-Machines Interaction Laboratory (HUMAIN-Lab), International Hellenic University, Kavala, Greece; Papageorgiou General Hospital, Thessaloniki, Greece; Euroaction, Thessaloniki, Greece","2020 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","28 Oct 2020","2020","","","1","4","The use of social robots in special education has been the subject of numerous research studies in recent years. The objective of these studies is to use robots as tools in order to facilitate and enhance supporting interventions in special education. The research so far generally shows that robot-assisted interventions yield several benefits. For the most part, these are approaches utilizing a single robot and a child. This limits the range of the skills that can be addressed during the intervention, such as social skills group training, which are essential in everyday life. As a means to overcome this problem, this paper proposes the use of multiple heterogeneous robots in ASD interventions, each having a different role in a group, where the child practices its social and communication skills. The proposed scenarios and implementation details are discussed, and the results of the pilot session are presented. The study revealed that the child demonstrated a high engagement level and eagerness to participate in the activities.","1847-358X","978-953-290-099-6","10.23919/SoftCOM50211.2020.9238273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238273","social robots;ASD interventions;assistive robotics;multi-robot systems","Training;Autism;Software;Computer networks;Telecommunications;Robots","educational robots;humanoid robots;human-robot interaction;medical disorders;medical robotics;mobile robots;multi-robot systems","social skills group training;robot-assisted interventions;supporting interventions;special education;social robots;multirobot approach;robot-assisted autism spectrum disorder interventions;social communication skills;ASD interventions;multiple heterogeneous robots","","2","","21","","28 Oct 2020","","","IEEE","IEEE Conferences"
"Key Practices for Welfare Robots provision: Assessment Framework and Participation","M. Yasuoka; K. Homma; Y. Akutsu; Y. Matsumoto","Sustainable Digitalization, Roskilde University, Roskilde, DK, Denmark; The National Institute of Advanced Industrial Science and Technology (AIST), Kashiwa 11 Campus, University of Tokyo, Kashiwa, Chiba, Japan; MT Health Care Research Inc., Chiyoda-ku, Tokyo, Japan; The National Institute of Advanced Industrial Science and Technology (AIST), Kashiwa 11 Campus, University of Tokyo, Kashiwa, Chiba, Japan","2021 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","28 Sep 2021","2021","","","29","34","As aging population grows, robots used in welfare and healthcare domain such as social robots, assistive robots and service robots (hereafter Welfare Robots, WR) has been attracted more attentions as one of the solutions to the welfare resource shortages. However, at present, WR have not necessarily implemented or embedded widely in society. Reasons for hindering WR provision to our society include the absence of clear assessment criteria and social implementation process models. While some care institutions and private homes promoted and integrated WR successfully, large part of our society have struggled to identify ways of appropriating the WR provision. Based on the investigation on seven successful organizations on evaluation and implementation practices, the research extracted key aspects for WR provision in society. The extracted three key categories with seven aspects highlights importance of standard assessment framework which includes stakeholder involvements and concepts of care recipients' autonomy. These critical aspects of WR provision contribute to better WR design, development and implementation in society under the new normal.","2162-7576","978-1-6654-4953-3","10.1109/ARSO51874.2021.9542845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542845","","Service robots;Conferences;Standards organizations;Sociology;Organizations;Medical services;Aging","handicapped aids;health care;medical robotics;service robots","social robots;assistive robots;service robots;welfare resource shortages;clear assessment criteria;social implementation process models;standard assessment framework;welfare robot provision;WR provision;care recipient autonomy","","","","34","IEEE","28 Sep 2021","","","IEEE","IEEE Conferences"
"The “Eve effect bias”: Epistemic Vigilance and Human Belief in Concealed Capacities of Social Robots","R. Gigandet; X. Dutoit; B. Li; M. C. Diana; T. A. Nazir","Univ. Lille, CNRS, UMR 9193 - SCALab - Sciences Cognitives et Sciences Affectives, Lille, France; Univ. Lille, CNRS, UMR 9193 - SCALab - Sciences Cognitives et Sciences Affectives, Lille, France; Univ. Lille, CNRS, UMR 9193 - SCALab - Sciences Cognitives et Sciences Affectives, Lille, France; Univ. Lille, CNRS, UMR 9193 - SCALab - Sciences Cognitives et Sciences Affectives, Lille, France; Univ. Lille, CNRS, UMR 9193 - SCALab - Sciences Cognitives et Sciences Affectives, Lille, France","2023 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","25 Jul 2023","2023","","","15","20","Artificial social agents (ASAs) are gaining popularity, but reports suggest that humans don't always coexist harmoniously with them. This exploratory study examined whether humans pay attention to cues of falsehood or deceit when interacting with ASAs. To infer such epistemic vigilance, participants' N400 brain signals were analyzed in response to discrepancies between a robot's physical appearance and its speech, and ratings were collected for statements about the robot's cognitive ability. First results suggest that humans do exhibit epistemic vigilance, as evidenced 1) by a more pronounced N400 component when participants heard sentences contradicting the robot's physical abilities and 2) by overall lower rating scores for the robot's cognitive abilities. However, approximately two-thirds of participants showed a “concealed capacity bias,” whereby they reported believing that the robot could have concealed arms or legs, despite physical evidence to the contrary. This bias, referred to as the “Eve effect bias” reduced the N400 effect and amplified the perception of the robot, suggesting that individuals influenced by this bias may be less critical of the accuracy and plausibility of information provided by artificial agents. Consequently, humans may accept information from ASAs even when it contradicts common sense. These findings emphasize the need for transparency, unbiased information processing, and user education about the limitations and capabilities of ASAs.","2162-7576","978-1-6654-6424-6","10.1109/ARSO56563.2023.10187469","Université de Lille(grant numbers:FR CNRS 2052 SCV); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187469","","Legged locomotion;Social robots;Information processing;Robot sensing systems;Manipulators;Robots","cognition;social robots","artificial social agents;ASA;cognitive ability;concealed capacity bias;epistemic vigilance;Eve effect bias;human belief;physical abilities;physical appearance;physical evidence;social robots","","","","41","IEEE","25 Jul 2023","","","IEEE","IEEE Conferences"
"Exploring requirements and opportunities for social robots in primary mathematics education","L. Elloumi; M. Bossema; S. M. de Droog; M. H. J. Smakman; S. v. Ginkel; M. E. U. Ligthart; K. Hoogland; K. V. Hindriks; S. Ben Allouch","Amsterdam University of Applied Sciences, Amsterdam, The Netherlands; Amsterdam University of Applied Sciences, Amsterdam, The Netherlands; HU University of Applied Sciences Utrecht, Utrecht, The Netherlands; HU University of Applied Sciences Utrecht, Utrecht, The Netherlands; HU University of Applied Sciences Utrecht, Utrecht, The Netherlands; VU University Amsterdam, Amsterdam, The Netherlands; HU University of Applied Sciences Utrecht, Utrecht, The Netherlands; VU University Amsterdam, Amsterdam, The Netherlands; Amsterdam University of Applied Sciences, Amsterdam, The Netherlands","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","316","322","Social robots have been introduced in different fields such as retail, health care and education. Primary education in the Netherlands (and elsewhere) recently faced new challenges because of the COVID-19 pandemic, lockdowns and quarantines including students falling behind and teachers burdened with high workloads. Together with two Dutch municipalities and nine primary schools we are exploring the long-term use of social robots to study how social robots might support teachers in primary education, with a focus on mathematics education. This paper presents an explorative study to define requirements for a social robot math tutor. Multiple focus groups were held with the two main stakeholders, namely teachers and students. During the focus groups the aim was 1) to understand the current situation of mathematics education in the upper primary school level, 2) to identify the problems that teachers and students encounter in mathematics education, and 3) to identify opportunities for deploying a social robot math tutor in primary education from the perspective of both the teachers and students. The results inform the development of social robots and opportunities for pedagogical methods used in math teaching, child-robot interaction and potential support for teachers in the classroom.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900569","","COVID-19;Pandemics;Social robots;Education;Medical services;Mathematics;Stakeholders","educational institutions;educational robots;mathematics;social robots","primary mathematics education;primary schools;social robot math tutor;upper primary school level;child-robot interaction;pedagogical methods","","","","32","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"What Could Go Wrong?! 2nd Workshop: Lessons Learned When Doing HRI User Studies with Off-the-Shelf Social Robots","S. A. Elprama; A. Jacobs; M. Ligthart; K. Hindriks; K. Winkle","Imec, Vrije Universiteit, Brussel, Belgium; Imec, Vrije Universiteit, Brussel, Belgium; TU Delft, The Netherlands; Vrije Universiteit, Amsterdam, The Netherlands; Bristol Robotics Laboratory, UK","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","677","678","Nowadays, off-the-shelf social robots are used more frequently by the HRI community to research social interactions with different types of users across a range of domains such as education, retail, health care, public places and other domains. Everyone doing HRI research with end-users is invited to submit a case study to our workshop. We are particularly interested in case studies where things did not go as planned. Case studies describing research in the lab or in the wild are both welcome. Examples of unplanned experiences could include, but are not limited to, unexpected responses from the user, issues with the experimental setup or simply having challenges with transferring theory to the real world. In this workshop, we focus on off-the-shelf robots. In order to generalize and compare differences across multiple HRI domains and create common solutions, we will provide a template for your case study. We are interested in learning how such unexpected HRI results can be reported. In the workshop, we will discuss and study how failures are reported and be inspired to create a list of good ways to report failures, which can hopefully be inspiring for the HRI community.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673260","fails;failures;robots;social robots","Conferences;Robots;Jacobian matrices;Medical services;Sociology;Recruitment;Instruments","human-robot interaction","off-the-shelf social robots;HRI community;HRI research;social interactions","","1","","3","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"The effect of an empathy-eliciting intervention on the perception of telepresence robot users *","A. Asadi; K. Fischer","The Department of Media Design, Education and Cognition, University of Southern, Sønderborg, Denmark; The Department of Media Design, Education and Cognition, University of Southern, Sønderborg, Denmark","2023 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","25 Jul 2023","2023","","","90","94","Telepresence robots can be used in different contexts with different goals; for example, to help remote individuals virtually attend classes and meetings, or to allow healthcare workers and patients in different locations to remain in touch. Although these robots bring about different advantages to mediated communication, telepresence pilots have been found to be perceived less favorably than people who are physically present in a communicative context [1]. Thus, in the current work, to mitigate the negative effects of using a telepresence robot, we examine whether an intervention to elicit empathy can influence the way remote participants are perceived. To this end, in a within-subject design, we asked participants (N=30) to follow text-based instructions to do a language learning activity in groups of three, in which one of the participants used a GoBe telepresence robot to join other co-situated group members. We embedded an intervention designed to create empathy with the telepresence operator in the last section of the activity and used two questionnaires, one before and one after the intervention, to collect participants' subjective evaluations of each other. Findings suggest that after the empathy-eliciting question, participants found the telepresence robot user significantly more trustworthy, reliable, and fascinated by art, music, or literature. Results indicate that the empathy-eliciting intervention has a positive effect on the way collocated participants perceive telepresence users.","2162-7576","978-1-6654-6424-6","10.1109/ARSO56563.2023.10187570","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187570","","Telepresence;Art;Medical services;Reliability;Robots","computer aided instruction;health care;virtual reality","communicative context;different advantages;empathy-eliciting intervention;empathy-eliciting question;GoBe telepresence robot;mediated communication;remote individuals;telepresence operator;telepresence pilots;telepresence robot user;telepresence users;way remote participants","","","","33","IEEE","25 Jul 2023","","","IEEE","IEEE Conferences"
"Social Attitude Towards a Robot is Promoted by Motor-Induced Embodiment Independently of Spatial Perspective","D. Farizon; P. F. Dominey; J. Ventre-Dominey","Institute of Health and Medical Research (INSERM), University of Bourgogne, Dijon, France; Institute of Health and Medical Research (INSERM), University of Bourgogne, Dijon, France; Institute of Health and Medical Research (INSERM), University of Bourgogne, Dijon, France","IEEE Robotics and Automation Letters","20 Jul 2022","2022","7","4","9036","9042","Humans can enter into social relations with robots through different spatial perspectives. In the telepresence perspective, the human sees through the eyes of the robot. In the face-to-face perspective the human faces the robot and interacts in a self-other relation. During robotic telepresence, we have shown that embodiment into robots can be promoted by reciprocal and synchronous stimuli in the form of intentional movements or passive tactile stimulations. Here we investigate the impact of different spatial perspectives coupled to these sensory-motor manipulations on human subjects’ social perception of robots. Through a series of experiments, we demonstrate that independent of the telepresence vs. face-to-face self-perspective, the sense of agency as induced by synchronous human-robot movements is crucial for generating positive changes of robot acceptability. We suggest that motor intentionality most clearly influences our social perception of robots.","2377-3766","","10.1109/LRA.2022.3189150","ANER RobotSelf; Région Bourgogne-Franche-Comté; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9817647","Embodiment;human-robot interaction;social attributes;spatial perspective","Robots;Robot sensing systems;Telepresence;Induction motors;Faces;Synchronous motors;Mirrors","haptic interfaces;human-robot interaction;manipulators;mobile robots;neurophysiology;virtual reality","social attitude;motor-induced embodiment;spatial perspective;social relations;different spatial perspectives;telepresence perspective;face-to-face perspective;human faces;robotic telepresence;sensory-motor manipulations;human subjects;face-to-face self-perspective;human-robot movements;robot acceptability;social perception","","","","45","IEEE","7 Jul 2022","","","IEEE","IEEE Journals"
"Can Social Robots Effectively Elicit Curiosity in STEM Topics from K-1 Students During Oral Assessments?","A. Johnson; A. Martin; M. Quintero; A. Bailey; A. Alwan","Electrical and Computer Engineering, University of California, Los Angeles, Los Angeles, USA; Department of Education, University of California, Los Angeles, Los Angeles, USA; Department of Education, University of California, Los Angeles, Los Angeles, USA; Department of Education, University of California, Los Angeles, Los Angeles, USA; Electrical and Computer Engineering, University of California, Los Angeles, Los Angeles, USA","2022 IEEE Global Engineering Education Conference (EDUCON)","11 May 2022","2022","","","1264","1268","This paper presents the results of a pilot study that introduces social robots into kindergarten and first-grade classroom tasks. This study aims to understand 1) how effective social robots are in administering educational activities and assessments, and 2) if these interactions with social robots can serve as a gateway into learning about robotics and STEM for young children. We administered a commonly-used assessment (GFTA3) of speech production using a social robot and compared the quality of recorded responses to those obtained with a human assessor. In a comparison done between 40 children, we found no significant differences in the student responses between the two conditions over the three metrics used: word repetition accuracy, number of times additional help was needed, and similarity of prosody to the assessor. We also found that interactions with the robot were successfully able to stimulate curiosity in robotics, and therefore STEM, from a large number of the 164 student participants.","2165-9567","978-1-6654-4434-7","10.1109/EDUCON52537.2022.9766662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766662","K-12 STEM education;social robot;HRI;oral language","Conferences;Production;Logic gates;Time measurement;Task analysis;Engineering education;Robots","computer aided instruction;educational courses;educational institutions;educational robots;human-robot interaction;STEM","STEM topics;K-1 Students;oral assessments;social robot;kindergarten;first-grade classroom tasks;effective social robots;educational activities;robotics","","","","19","IEEE","11 May 2022","","","IEEE","IEEE Conferences"
